Date,Heure,kWh,AvgTemp,Season,Screens Plug
2019-05-20,05,0.36,9,Spring,No
2019-05-20,06,0.37,9,Spring,No
2019-05-20,07,0.86,10,Spring,No
2019-05-20,08,0.78,10,Spring,No
2019-05-20,09,1.29,10,Spring,No
2019-05-20,10,1.53,10,Spring,No
2019-05-20,11,1.52,11,Spring,No
2019-05-20,12,3.84,12,Spring,No
2019-05-20,13,2.51,12,Spring,No
2019-05-20,14,2.31,13,Spring,No
2019-05-20,15,1.94,11,Spring,No
2019-05-20,16,2.82,10,Spring,No
2019-05-20,17,1.92,11,Spring,No
2019-05-20,18,1.5,10,Spring,No
2019-05-20,19,1.16,10,Spring,No
2019-05-20,20,2.69,9,Spring,No
2019-05-20,21,1.14,9,Spring,No
2019-05-20,22,1.53,9,Spring,No
2019-05-20,23,1.35,10,Spring,No
2019-05-21,00,0.63,10,Spring,No
2019-05-21,01,0.28,9,Spring,No
2019-05-21,02,0.35,8,Spring,No
2019-05-21,03,0.59,8,Spring,No
2019-05-21,04,0.28,8,Spring,No
2019-05-21,05,0.34,8,Spring,No
2019-05-21,06,1.53,8,Spring,No
2019-05-21,07,0.94,8,Spring,No
2019-05-21,08,1.05,8,Spring,No
2019-05-21,09,2.31,10,Spring,No
2019-05-21,10,2.4,9,Spring,No
2019-05-21,11,0.68,11,Spring,No
2019-05-21,12,1.61,11,Spring,No
2019-05-21,13,2.56,12,Spring,No
2019-05-21,14,1.81,12,Spring,No
2019-05-21,15,1.21,12,Spring,No
2019-05-21,16,1.58,12,Spring,No
2019-05-21,17,2.26,11,Spring,No
2019-05-21,18,1.21,10,Spring,No
2019-05-21,19,1.4,9,Spring,No
2019-05-21,20,0.91,8,Spring,No
2019-05-21,21,1.89,7,Spring,No
2019-05-21,22,2.43,7,Spring,No
2019-05-21,23,1.08,7,Spring,No
2019-05-22,00,0.72,7,Spring,No
2019-05-22,01,0.6,6,Spring,No
2019-05-22,02,0.33,6,Spring,No
2019-05-22,03,0.35,5,Spring,No
2019-05-22,04,0.31,6,Spring,No
2019-05-22,05,0.35,9,Spring,No
2019-05-22,06,0.93,10,Spring,No
2019-05-22,07,0.61,12,Spring,No
2019-05-22,08,1.58,14,Spring,No
2019-05-22,09,1.15,15,Spring,No
2019-05-22,10,0.89,16,Spring,No
2019-05-22,11,1.27,17,Spring,No
2019-05-22,12,1.32,18,Spring,No
2019-05-22,13,1.38,19,Spring,No
2019-05-22,14,0.45,19,Spring,No
2019-05-22,15,0.41,20,Spring,No
2019-05-22,16,2.65,18,Spring,No
2019-05-22,17,3.43,17,Spring,No
2019-05-22,18,4.79,14,Spring,No
2019-05-22,19,3.17,13,Spring,No
2019-05-22,20,1.44,10,Spring,No
2019-05-22,21,1.48,11,Spring,No
2019-05-22,22,1,9,Spring,No
2019-05-22,23,1.02,8,Spring,No
2019-05-23,00,1.26,10,Spring,No
2019-05-23,01,1.17,10,Spring,No
2019-05-23,02,1.5,9,Spring,No
